Date,Sentiment,Sentiment High,Sentiment Low,News Volume,News Buzz
2013-10-29,1.0,5.0,-4.0,72.0,3.0
2013-10-30,3.0,5.0,-1.0,77.0,4.0
2013-10-31,1.0,5.0,-4.0,90.0,4.0
2013-11-01,-1.0,4.0,-5.0,86.0,5.0
2013-11-02,-2.0,1.0,-5.0,20.0,1.0
2013-11-03,1.0,5.0,-4.0,25.0,1.0
2013-11-04,2.0,5.0,-3.0,106.0,6.0
2013-11-05,1.0,5.0,-4.0,122.0,7.0
2013-11-06,1.0,5.0,-3.0,129.0,7.0
2013-11-07,-1.0,4.0,-4.0,114.0,6.0
2013-11-08,2.0,5.0,-3.0,139.0,8.0
2013-11-09,3.0,5.0,-1.0,22.0,1.0
2013-11-10,1.0,4.0,-4.0,19.0,1.0
2013-11-11,1.0,5.0,-4.0,72.0,4.0
2013-11-12,1.0,5.0,-4.0,110.0,6.0
2013-11-13,1.0,4.0,-4.0,88.0,5.0
2013-11-14,-1.0,4.0,-4.0,113.0,6.0
2013-11-15,-1.0,4.0,-4.0,93.0,5.0
2013-11-16,-1.0,4.0,-5.0,24.0,1.0
2013-11-17,3.0,5.0,-2.0,30.0,2.0
2013-11-18,1.0,4.0,-4.0,109.0,7.0
2013-11-19,1.0,5.0,-4.0,79.0,5.0
2013-11-20,1.0,5.0,-4.0,132.0,9.0
2013-11-21,-1.0,4.0,-5.0,132.0,9.0
2013-11-22,2.0,5.0,-3.0,86.0,6.0
2013-11-23,-1.0,4.0,-4.0,20.0,1.0
2013-11-24,1.0,5.0,-5.0,17.0,1.0
2013-11-25,-1.0,4.0,-4.0,120.0,8.0
2013-11-26,-1.0,4.0,-4.0,146.0,10.0
2013-11-27,-1.0,4.0,-5.0,110.0,7.0
2013-11-28,1.0,4.0,-4.0,54.0,3.0
2013-11-29,1.0,5.0,-4.0,79.0,5.0
2013-11-30,-1.0,4.0,-5.0,12.0,0.0
2013-12-01,-1.0,4.0,-4.0,11.0,0.0
2013-12-02,-1.0,4.0,-5.0,153.0,10.0
2013-12-03,-1.0,3.0,-5.0,139.0,9.0
2013-12-04,-1.0,4.0,-4.0,119.0,7.0
2013-12-05,-1.0,4.0,-4.0,104.0,6.0
2013-12-06,-1.0,4.0,-5.0,86.0,5.0
2013-12-07,-2.0,2.0,-5.0,16.0,1.0
2013-12-08,2.0,5.0,-2.0,17.0,1.0
2013-12-09,-1.0,4.0,-4.0,74.0,4.0
2013-12-10,-1.0,3.0,-5.0,120.0,7.0
2013-12-11,1.0,5.0,-4.0,57.0,3.0
2013-12-12,2.0,5.0,-3.0,135.0,8.0
2013-12-13,1.0,4.0,-4.0,94.0,6.0
2013-12-14,5.0,5.0,4.0,7.0,0.0
2013-12-15,-3.0,1.0,-5.0,19.0,1.0
2013-12-16,2.0,5.0,-2.0,97.0,6.0
2013-12-17,1.0,4.0,-4.0,88.0,5.0
2013-12-18,1.0,5.0,-3.0,99.0,6.0
